trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,8,31.162832322644395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",35,20,16.636537729795908,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",30,12,32.068732355166915,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,14,3.2888976459644716,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,13,-29.53029269297656,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,10,19.92846423473053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,1,-19.661343775137034,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16041356777517274}",25,19,-1.5225624962308024,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.15881742610692068}",25,-22,31.535110852773776,"{0: 42, 1: 2, 2: 3, 3: 0, 4: 0}",0
185,False,"{'a': 0.01, 'e': 0.1572371663136276}",35,20,23.153436433857145,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.1556726303679973}",25,3,0.6855445959233952,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.01, 'e': 0.1541236618151314}",25,13,18.03624711964529,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.01, 'e': 0.15259010575688386}",25,18,-6.951089767076048,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.15107180883637084}",25,15,20.219063332548433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.14956861922263504}",25,1,37.60176790587304,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.14808038659546244}",20,-13,18.229709341948737,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.01, 'e': 0.14660696213035015}",20,11,16.708303305935882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.14514819848362373}",20,6,21.836290975013252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.14370394977770293}",20,7,24.332477260765458,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.1422740715865136}",25,6,-8.25226742554025,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.01, 'e': 0.140858420921045}",20,14,12.24440083149278,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.13945685621505094}",25,-1,30.09278832197927,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13806923731089282}",30,4,33.14088970831595,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.01, 'e': 0.13669542544552385}",30,20,16.397337740926922,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.01, 'e': 0.1353352832366127}",25,10,23.923854353595203,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.13398867466880493}",30,16,27.216257441658506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13265546508012172}",25,11,11.164423208262804,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13133552114849303}",25,8,31.65796075432768,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.1300287108784259}",30,18,9.735943578435517,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.01, 'e': 0.12873490358780423}",25,19,10.259752065467104,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12745396989482075}",20,6,4.85509228829669,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.01, 'e': 0.12618578170503877}",25,11,25.896601036970672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12493021219858241}",30,-2,18.196456096860803,"{0: 30, 1: 0, 2: 1, 3: 1, 4: 0}",0
209,False,"{'a': 0.01, 'e': 0.12368713581745483}",20,9,19.178310835587272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,3,36.25835688793546,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.01, 'e': 0.12123796643338168}",20,7,20.264960751103967,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.12003162851145673}",20,4,9.982764533434338,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.11883729385240965}",25,7,-19.66726621228098,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
214,False,"{'a': 0.01, 'e': 0.11765484302177918}",20,12,4.124513809122888,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.01, 'e': 0.11648415777349697}",25,16,15.399320240924428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.11532512103806251}",25,11,25.216905561811355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.1141776169108365}",30,-4,65.16624373908431,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.01, 'e': 0.11304153064044985}",20,4,29.920548364940363,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.01, 'e': 0.11191674861732888}",25,14,16.631512772812805,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.01, 'e': 0.11080315836233387}",20,5,15.618503943054927,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.01, 'e': 0.10970064851551141}",20,5,16.814256969194084,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10860910882495796}",30,-5,56.591829703572294,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.01, 'e': 0.10752843013579495}",25,-9,14.461101117336273,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 0}",0
224,False,"{'a': 0.01, 'e': 0.1064585043792528}",20,8,11.234493194328437,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.01, 'e': 0.10539922456186433}",20,11,15.569243556672834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.01, 'e': 0.104350484754765}",20,14,-0.3930570714673045,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.01, 'e': 0.1033121800831002}",30,5,31.210042051424697,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.10228420671553744}",25,14,5.976849766920748,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.01, 'e': 0.1012664618538834}",20,15,9.013860400987564,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.01, 'e': 0.1002588437228037}",30,10,37.76147210644172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.09926125155964566}",25,12,20.726533070928625,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.01, 'e': 0.09827358560436154}",20,-2,31.48570051132349,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.01, 'e': 0.09729574708953276}",25,6,36.73138399249134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.01, 'e': 0.09632763823049303}",25,8,23.73027493664923,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09536916221554961}",20,11,17.606430176935863,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09442022319630235}",25,14,21.11392849407414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.09348072627805847}",30,16,12.350985777174378,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09255057751034329}",25,14,11.904021550559415,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,-4,22.671647245565488,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",0
240,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,6,-54.292675472726685,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
241,False,"{'a': 0.01, 'e': 0.08981529457224763}",30,20,17.90786524324463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,4,19.440349509729163,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08803683258237255}",35,11,-44.85244898533714,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
244,False,"{'a': 0.01, 'e': 0.0871608514619813}",20,12,13.092983016787658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0862935864993705}",30,12,35.266826619983846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,12,15.919778188716936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08458485900156469}",25,16,15.374686641369957,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08374322559219596}",35,17,35.68917419571047,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08290996657517266}",25,15,7.983348755761092,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.0820849986238988}",20,6,15.506494173633842,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.08126823924089167}",20,3,27.93858975243728,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,10,21.074234109352986,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,10,17.13814914278953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07886639979067495}",20,10,-5.048627268280967,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,16,6.326418972410852,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07730474044329974}",20,2,29.96899998117094,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07653554542391151}",25,17,-7.249662232412024,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07577400402284548}",20,-4,20.149173329147118,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",0
259,False,"{'a': 0.01, 'e': 0.07502004008532698}",25,3,-2.0805957076327175,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
260,False,"{'a': 0.01, 'e': 0.07427357821433388}",20,3,33.05665967194163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.0735345437630571}",20,13,15.335917716341982,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.07280286282743559}",20,6,-17.07152919176201,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.01, 'e': 0.0720784622387661}",20,12,13.912696559405274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.07136126955638605}",25,14,8.193701772401495,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.0706512130604296}",25,-3,20.623824232674494,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",0
266,False,"{'a': 0.01, 'e': 0.06994822174465536}",30,6,37.959805466279846,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.069252225309346}",25,7,-3.59693448590322,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.01, 'e': 0.06856315415427791}",20,-19,52.50804283480283,"{0: 38, 1: 0, 2: 1, 3: 0, 4: 0}",0
269,False,"{'a': 0.01, 'e': 0.06788093937176144}",20,-6,42.772885004469515,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",0
270,False,"{'a': 0.01, 'e': 0.06720551273974976}",35,10,35.92201922165698,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06653680671501686}",20,8,18.175012579615633,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.06587475442640295}",20,13,12.12379071524614,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,11,-25.787750682942598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.01, 'e': 0.06457034689316847}",25,19,12.173346232928637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06392786120670757}",20,10,21.015692502326434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.0632917683596407}",30,18,-71.30399793813919,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
277,False,"{'a': 0.01, 'e': 0.06266200474215315}",20,-7,38.76768708652013,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",0
278,False,"{'a': 0.01, 'e': 0.06203850737735829}",25,4,24.26780305814675,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06142121391500013}",25,13,-19.054011179600884,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
280,False,"{'a': 0.01, 'e': 0.06081006262521795}",30,12,32.29959902306584,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06020499239237354}",35,6,3.7558885016429095,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.05960594270893937}",25,9,-15.306630274747503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.01, 'e': 0.05901285366944784}",30,-2,8.153793394180171,"{0: 30, 1: 1, 2: 0, 3: 0, 4: 1}",0
284,False,"{'a': 0.01, 'e': 0.05842566596450083}",30,12,34.278318755806204,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.057844320874838456}",30,23,10.77595124531509,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.05726876026546736}",20,0,32.12585316037657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.0566989265798469}",20,13,12.911470506363742,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.056134762834133725}",20,16,7.507917030375221,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148306}",20,8,7.552748837091187,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05502322005640723}",20,6,24.094516646075476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.05447572986918986}",20,4,33.416825093382435,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05393368730035602}",30,12,26.679286806158565,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.053397038145197084}",20,10,18.71949920165707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.05286572873835037}",20,-17,11.108713123949421,"{0: 35, 1: 1, 2: 0, 3: 0, 4: 1}",0
295,False,"{'a': 0.01, 'e': 0.05233970594843238}",25,11,15.184792469344144,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05181891717272583}",25,11,-14.930335110148267,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
297,False,"{'a': 0.01, 'e': 0.05130331033191911}",20,14,11.430405929304337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.0507928338648985}",25,16,15.214453876356291,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.050287436723591865}",30,20,7.826838517384478,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.049787068367863944}",30,17,21.056814376280123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046215}",20,2,39.423831048276725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201296}",25,-4,49.560816378050546,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
303,False,"{'a': 0.01, 'e': 0.04831563812606777}",20,-10,38.37732109512557,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
304,False,"{'a': 0.01, 'e': 0.04783488949419837}",25,6,27.289299558527123,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04735892439114091}",25,11,2.9784050708157617,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.046887695219988486}",20,-6,48.003124254275505,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.01, 'e': 0.04642115485743125}",20,-11,26.183349820908695,"{0: 29, 1: 0, 2: 2, 3: 0, 4: 0}",0
308,False,"{'a': 0.01, 'e': 0.045959256649044204}",20,12,7.494253158929155,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.04550195440462157}",20,4,32.15549001258776,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.0450492023935578}",30,16,5.9342873278560075,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
311,False,"{'a': 0.01, 'e': 0.044600955340274535}",20,14,9.262852238918382,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.04415716841969286}",20,6,27.027907479410693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.04371779725275094}",25,14,21.461307498150262,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043282797901965896}",20,4,18.922944101244983,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.04285212686704019}",25,-30,88.96334318918082,"{0: 55, 1: 0, 2: 0, 3: 0, 4: 0}",0
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",20,11,4.3920566842431,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",20,8,20.20985750650201,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04158565512117316}",20,15,7.527387585570214,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",20,11,18.47210851908325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",20,14,12.241469344193018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.01, 'e': 0.04035661327203115}",25,8,37.38508405203362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",20,10,19.69500593332837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",25,11,27.73821742873726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",20,2,21.09114866255224,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",25,-1,41.87839963744846,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.038388398017552054}",30,14,32.51467428680544,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",25,15,18.589287634480364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",25,14,17.377600804729667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",20,-17,54.18084607441501,"{0: 36, 1: 0, 2: 1, 3: 0, 4: 0}",0
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",20,0,27.856060007742457,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",20,16,7.599251699254021,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",25,11,26.45247803934595,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",25,8,27.234763446543475,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",30,15,24.708867590228376,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.035084354100845025}",20,2,10.14093492801183,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",30,12,33.85668709300755,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",20,10,10.790421143197792,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",25,3,42.492298216078815,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.033708676899572396}",25,11,25.05050488563323,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",20,12,15.257939353193883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",20,9,22.64068622475069,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",25,14,20.530950128797663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",25,13,17.978789377619385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.03206468532786077}",30,-7,69.52626749225831,"{0: 37, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",25,12,17.679415923312092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836771}",30,13,31.6403003305646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.03111703066106086}",20,12,18.066454334056157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751076}",35,1,53.18583913812416,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.01, 'e': 0.030500872171217483}",30,23,15.881236505036489,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.0301973834223185}",25,13,25.893502110082917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926308}",25,13,21.230674269720808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.01, 'e': 0.029599435167892}",20,2,33.26643002586053,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.01, 'e': 0.029304915867040746}",20,8,20.362868787161162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.01, 'e': 0.029013327082197053}",25,-9,54.985880488294285,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 0}",0
355,False,"{'a': 0.01, 'e': 0.028724639654239423}",25,14,20.220941270940326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.028438824714184505}",35,16,35.62785974190481,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.01, 'e': 0.028155853680300096}",20,11,19.612736913705945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027875698255247015}",20,9,25.33193821304361,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.01, 'e': 0.027598330423249287}",20,12,15.273879609483478,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.01, 'e': 0.02732372244729256}",20,10,17.61463594323335,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
