trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,-22,-119.49975489610345,"{0: 28, 1: 6, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",30,-50,-306.94744697304515,"{0: 52, 1: 7, 2: 14, 3: 3, 4: 4}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,11,10.98183897214378,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,-73,-188.44776903455025,"{0: 71, 1: 6, 2: 11, 3: 2, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",25,2,-49.27958758609077,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-153.97719399499698,"{0: 15, 1: 1, 2: 3, 3: 5, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,-5,-107.30839318267796,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",30,-7,-185.97281173636694,"{0: 23, 1: 4, 2: 4, 3: 4, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,-1,-44.31937673631466,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-97.69439321961227,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,-10,-9.323178067407081,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,10,-90.15300838755792,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,-4,38.98947644388867,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,6,-60.85232094518079,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,-54,-142.50053774223304,"{0: 60, 1: 5, 2: 11, 3: 1, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,-5,-50.35096541987696,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,3,-82.9932739143016,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",35,-44,-241.54817857437445,"{0: 57, 1: 5, 2: 11, 3: 2, 4: 4}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,14,3.6005298169564925,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,-9,-112.23874739901892,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",30,-2,-90.043728514204,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,-42,-227.9622409497365,"{0: 42, 1: 2, 2: 14, 3: 1, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,-13,-114.28596906866242,"{0: 25, 1: 4, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,-25,-142.25323517072755,"{0: 31, 1: 3, 2: 9, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,-21,-78.58248813486698,"{0: 30, 1: 5, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,5,-47.64193959177779,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",30,-8,-145.9225114000219,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 3}",0
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,-7,19.455559467086587,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,-25,-20.260215967551627,"{0: 37, 1: 1, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,-28,-58.81597659833695,"{0: 45, 1: 2, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,14,11.65765768480056,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,4,-7.3531060623497995,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,9,5.945276793380817,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
